,Survived,Pclass,Sex,Age,Embarked
73,0,3,male,26.0,C
74,1,3,male,32.0,S
75,0,3,male,25.0,S
76,0,3,male,,S
77,0,3,male,,S
78,1,2,male,0.83,S
79,1,3,female,30.0,S
80,0,3,male,22.0,S
81,1,3,male,29.0,S
82,1,3,female,,Q
83,0,1,male,28.0,S
84,1,2,female,17.0,S
85,1,3,female,33.0,S
86,0,3,male,16.0,S
87,0,3,male,,S
88,1,1,female,23.0,S
89,0,3,male,24.0,S
90,0,3,male,29.0,S
91,0,3,male,20.0,S
92,0,1,male,46.0,S
93,0,3,male,26.0,S
94,0,3,male,59.0,S
95,0,3,male,,S
96,0,1,male,71.0,C
97,1,1,male,23.0,C
98,1,2,female,34.0,S
99,0,2,male,34.0,S
100,0,3,female,28.0,S
101,0,3,male,,S
102,0,1,male,21.0,S
103,0,3,male,33.0,S
104,0,3,male,37.0,S
105,0,3,male,28.0,S
106,1,3,female,21.0,S
107,1,3,male,,S
108,0,3,male,38.0,S
109,1,3,female,,Q
110,0,1,male,47.0,S
111,0,3,female,14.5,C
112,0,3,male,22.0,S
113,0,3,female,20.0,S
114,0,3,female,17.0,C
115,0,3,male,21.0,S
116,0,3,male,70.5,Q
117,0,2,male,29.0,S
118,0,1,male,24.0,C
119,0,3,female,2.0,S
120,0,2,male,21.0,S
121,0,3,male,,S
122,0,2,male,32.5,C
123,1,2,female,32.5,S
124,0,1,male,54.0,S
125,1,3,male,12.0,C
126,0,3,male,,Q
127,1,3,male,24.0,S
128,1,3,female,,C
129,0,3,male,45.0,S
130,0,3,male,33.0,C
131,0,3,male,20.0,S
132,0,3,female,47.0,S
133,1,2,female,29.0,S
134,0,2,male,25.0,S
135,0,2,male,23.0,C
136,1,1,female,19.0,S
137,0,1,male,37.0,S
138,0,3,male,16.0,S
139,0,1,male,24.0,C
140,0,3,female,,C
141,1,3,female,22.0,S
142,1,3,female,24.0,S
143,0,3,male,19.0,Q
144,0,2,male,18.0,S
145,0,2,male,19.0,S
146,1,3,male,27.0,S
147,0,3,female,9.0,S
148,0,2,male,36.5,S
149,0,2,male,42.0,S
150,0,2,male,51.0,S
151,1,1,female,22.0,S
152,0,3,male,55.5,S
153,0,3,male,40.5,S
154,0,3,male,,S
155,0,1,male,51.0,C
156,1,3,female,16.0,Q
157,0,3,male,30.0,S
158,0,3,male,,S
159,0,3,male,,S
160,0,3,male,44.0,S
161,1,2,female,40.0,S
162,0,3,male,26.0,S
163,0,3,male,17.0,S
164,0,3,male,1.0,S
165,1,3,male,9.0,S
166,1,1,female,,S
167,0,3,female,45.0,S
168,0,1,male,,S
169,0,3,male,28.0,S
170,0,1,male,61.0,S
171,0,3,male,4.0,Q
172,1,3,female,1.0,S
173,0,3,male,21.0,S
174,0,1,male,56.0,C
175,0,3,male,18.0,S
176,0,3,male,,S
177,0,1,female,50.0,C
178,0,2,male,30.0,S
179,0,3,male,36.0,S
180,0,3,female,,S
181,0,2,male,,C
182,0,3,male,9.0,S
183,1,2,male,1.0,S
184,1,3,female,4.0,S
185,0,1,male,,S
186,1,3,female,,Q
187,1,1,male,45.0,S
188,0,3,male,40.0,Q
189,0,3,male,36.0,S
190,1,2,female,32.0,S
191,0,2,male,19.0,S
192,1,3,female,19.0,S
193,1,2,male,3.0,S
194,1,1,female,44.0,C
195,1,1,female,58.0,C
196,0,3,male,,Q
197,0,3,male,42.0,S
198,1,3,female,,Q
199,0,2,female,24.0,S
200,0,3,male,28.0,S
201,0,3,male,,S
202,0,3,male,34.0,S
203,0,3,male,45.5,C
204,1,3,male,18.0,S
205,0,3,female,2.0,S
206,0,3,male,32.0,S
207,1,3,male,26.0,C
208,1,3,female,16.0,Q
209,1,1,male,40.0,C
210,0,3,male,24.0,S
211,1,2,female,35.0,S
212,0,3,male,22.0,S
213,0,2,male,30.0,S
214,0,3,male,,Q
215,1,1,female,31.0,C
216,1,3,female,27.0,S
217,0,2,male,42.0,S
218,1,1,female,32.0,C
219,0,2,male,30.0,S
220,1,3,male,16.0,S
221,0,2,male,27.0,S
222,0,3,male,51.0,S
223,0,3,male,,S
224,1,1,male,38.0,S
225,0,3,male,22.0,S
226,1,2,male,19.0,S
227,0,3,male,20.5,S
228,0,2,male,18.0,S
229,0,3,female,,S
230,1,1,female,35.0,S
231,0,3,male,29.0,S
232,0,2,male,59.0,S
233,1,3,female,5.0,S
234,0,2,male,24.0,S
235,0,3,female,,S
236,0,2,male,44.0,S
237,1,2,female,8.0,S
238,0,2,male,19.0,S
239,0,2,male,33.0,S
240,0,3,female,,C
241,1,3,female,,Q
242,0,2,male,29.0,S
243,0,3,male,22.0,S
244,0,3,male,30.0,C
245,0,1,male,44.0,Q
246,0,3,female,25.0,S
247,1,2,female,24.0,S
248,1,1,male,37.0,S
249,0,2,male,54.0,S
250,0,3,male,,S
251,0,3,female,29.0,S
252,0,1,male,62.0,S
253,0,3,male,30.0,S
254,0,3,female,41.0,S
255,1,3,female,29.0,C
256,1,1,female,,C
257,1,1,female,30.0,S
258,1,1,female,35.0,C
259,1,2,female,50.0,S
260,0,3,male,,Q
261,1,3,male,3.0,S
262,0,1,male,52.0,S
263,0,1,male,40.0,S
264,0,3,female,,Q
265,0,2,male,36.0,S
266,0,3,male,16.0,S
267,1,3,male,25.0,S
268,1,1,female,58.0,S
269,1,1,female,35.0,S
270,0,1,male,,S
271,1,3,male,25.0,S
272,1,2,female,41.0,S
273,0,1,male,37.0,C
274,1,3,female,,Q
275,1,1,female,63.0,S
276,0,3,female,45.0,S
277,0,2,male,,S
278,0,3,male,7.0,Q
279,1,3,female,35.0,S
280,0,3,male,65.0,Q
281,0,3,male,28.0,S
282,0,3,male,16.0,S
283,1,3,male,19.0,S
284,0,1,male,,S
285,0,3,male,33.0,C
286,1,3,male,30.0,S
287,0,3,male,22.0,S
288,1,2,male,42.0,S
289,1,3,female,22.0,Q
290,1,1,female,26.0,S
291,1,1,female,19.0,C
292,0,2,male,36.0,C
293,0,3,female,24.0,S
294,0,3,male,24.0,S
295,0,1,male,,C
296,0,3,male,23.5,C
297,0,1,female,2.0,S
298,1,1,male,,S
299,1,1,female,50.0,C
300,1,3,female,,Q
301,1,3,male,,Q
302,0,3,male,19.0,S
303,1,2,female,,Q
304,0,3,male,,S
305,1,1,male,0.92,S
306,1,1,female,,C
307,1,1,female,17.0,C
308,0,2,male,30.0,C
309,1,1,female,30.0,C
310,1,1,female,24.0,C
311,1,1,female,18.0,C
312,0,2,female,26.0,S
313,0,3,male,28.0,S
314,0,2,male,43.0,S
315,1,3,female,26.0,S
316,1,2,female,24.0,S
317,0,2,male,54.0,S
318,1,1,female,31.0,S
319,1,1,female,40.0,C
320,0,3,male,22.0,S
321,0,3,male,27.0,S
322,1,2,female,30.0,Q
323,1,2,female,22.0,S
324,0,3,male,,S
325,1,1,female,36.0,C
326,0,3,male,61.0,S
327,1,2,female,36.0,S
328,1,3,female,31.0,S
329,1,1,female,16.0,C
330,1,3,female,,Q
331,0,1,male,45.5,S
332,0,1,male,38.0,S
333,0,3,male,16.0,S
334,1,1,female,,S
335,0,3,male,,S
336,0,1,male,29.0,S
337,1,1,female,41.0,C
338,1,3,male,45.0,S
339,0,1,male,45.0,S
340,1,2,male,2.0,S
341,1,1,female,24.0,S
342,0,2,male,28.0,S
343,0,2,male,25.0,S
344,0,2,male,36.0,S
345,1,2,female,24.0,S
346,1,2,female,40.0,S
347,1,3,female,,S
348,1,3,male,3.0,S
349,0,3,male,42.0,S
350,0,3,male,23.0,S
351,0,1,male,,S
352,0,3,male,15.0,C
353,0,3,male,25.0,S
354,0,3,male,,C
355,0,3,male,28.0,S
356,1,1,female,22.0,S
357,0,2,female,38.0,S
358,1,3,female,,Q
359,1,3,female,,Q
360,0,3,male,40.0,S
361,0,2,male,29.0,C
362,0,3,female,45.0,C
363,0,3,male,35.0,S
364,0,3,male,,Q
365,0,3,male,30.0,S
366,1,1,female,60.0,C
367,1,3,female,,C
368,1,3,female,,Q
369,1,1,female,24.0,C
370,1,1,male,25.0,C
371,0,3,male,18.0,S
372,0,3,male,19.0,S
373,0,1,male,22.0,C
374,0,3,female,3.0,S
375,1,1,female,,C
376,1,3,female,22.0,S
377,0,1,male,27.0,C
378,0,3,male,20.0,C
379,0,3,male,19.0,S
380,1,1,female,42.0,C
381,1,3,female,1.0,C
382,0,3,male,32.0,S
383,1,1,female,35.0,S
384,0,3,male,,S
385,0,2,male,18.0,S
386,0,3,male,1.0,S
387,1,2,female,36.0,S
388,0,3,male,,Q
389,1,2,female,17.0,C
390,1,1,male,36.0,S
391,1,3,male,21.0,S
392,0,3,male,28.0,S
393,1,1,female,23.0,C
394,1,3,female,24.0,S
395,0,3,male,22.0,S
396,0,3,female,31.0,S
397,0,2,male,46.0,S
398,0,2,male,23.0,S
399,1,2,female,28.0,S
400,1,3,male,39.0,S
401,0,3,male,26.0,S
402,0,3,female,21.0,S
403,0,3,male,28.0,S
404,0,3,female,20.0,S
405,0,2,male,34.0,S
406,0,3,male,51.0,S
407,1,2,male,3.0,S
408,0,3,male,21.0,S
409,0,3,female,,S
410,0,3,male,,S
411,0,3,male,,Q
412,1,1,female,33.0,Q
413,0,2,male,,S
414,1,3,male,44.0,S
415,0,3,female,,S
416,1,2,female,34.0,S
417,1,2,female,18.0,S
418,0,2,male,30.0,S
419,0,3,female,10.0,S
420,0,3,male,,C
421,0,3,male,21.0,Q
422,0,3,male,29.0,S
423,0,3,female,28.0,S
424,0,3,male,18.0,S
425,0,3,male,,S
426,1,2,female,28.0,S
427,1,2,female,19.0,S
428,0,3,male,,Q
429,1,3,male,32.0,S
430,1,1,male,28.0,S
431,1,3,female,,S
432,1,2,female,42.0,S
433,0,3,male,17.0,S
434,0,1,male,50.0,S
435,1,1,female,14.0,S
436,0,3,female,21.0,S
437,1,2,female,24.0,S
438,0,1,male,64.0,S
439,0,2,male,31.0,S
440,1,2,female,45.0,S
441,0,3,male,20.0,S
442,0,3,male,25.0,S
443,1,2,female,28.0,S
444,1,3,male,,S
445,1,1,male,4.0,S
446,1,2,female,13.0,S
447,1,1,male,34.0,S
448,1,3,female,5.0,C
449,1,1,male,52.0,S
450,0,2,male,36.0,S
451,0,3,male,,S
452,0,1,male,30.0,C
453,1,1,male,49.0,C
454,0,3,male,,S
455,1,3,male,29.0,C
456,0,1,male,65.0,S
457,1,1,female,,S
458,1,2,female,50.0,S
459,0,3,male,,Q
460,1,1,male,48.0,S
461,0,3,male,34.0,S
462,0,1,male,47.0,S
463,0,2,male,48.0,S
464,0,3,male,,S
465,0,3,male,38.0,S
466,0,2,male,,S
467,0,1,male,56.0,S
468,0,3,male,,Q
469,1,3,female,0.75,C
470,0,3,male,,S
471,0,3,male,38.0,S
472,1,2,female,33.0,S
473,1,2,female,23.0,C
474,0,3,female,22.0,S
475,0,1,male,,S
476,0,2,male,34.0,S
477,0,3,male,29.0,S
478,0,3,male,22.0,S
479,1,3,female,2.0,S
480,0,3,male,9.0,S
481,0,2,male,,S
482,0,3,male,50.0,S
483,1,3,female,63.0,S
484,1,1,male,25.0,C
485,0,3,female,,S
486,1,1,female,35.0,S
487,0,1,male,58.0,C
488,0,3,male,30.0,S
489,1,3,male,9.0,S
490,0,3,male,,S
491,0,3,male,21.0,S
492,0,1,male,55.0,S
493,0,1,male,71.0,C
494,0,3,male,21.0,S
495,0,3,male,,C
496,1,1,female,54.0,C
497,0,3,male,,S
498,0,1,female,25.0,S
499,0,3,male,24.0,S
500,0,3,male,17.0,S
501,0,3,female,21.0,Q
502,0,3,female,,Q
503,0,3,female,37.0,S
504,1,1,female,16.0,S
505,0,1,male,18.0,C
506,1,2,female,33.0,S
507,1,1,male,,S
508,0,3,male,28.0,S
509,1,3,male,26.0,S
510,1,3,male,29.0,Q
511,0,3,male,,S
512,1,1,male,36.0,S
513,1,1,female,54.0,C
514,0,3,male,24.0,S
515,0,1,male,47.0,S
516,1,2,female,34.0,S
517,0,3,male,,Q
518,1,2,female,36.0,S
519,0,3,male,32.0,S
520,1,1,female,30.0,S
521,0,3,male,22.0,S
522,0,3,male,,C
523,1,1,female,44.0,C
524,0,3,male,,C
525,0,3,male,40.5,Q
526,1,2,female,50.0,S
527,0,1,male,,S
528,0,3,male,39.0,S
529,0,2,male,23.0,S
530,1,2,female,2.0,S
531,0,3,male,,C
532,0,3,male,17.0,C
533,1,3,female,,C
534,0,3,female,30.0,S
535,1,2,female,7.0,S
536,0,1,male,45.0,S
537,1,1,female,30.0,C
538,0,3,male,,S
539,1,1,female,22.0,C
540,1,1,female,36.0,S
541,0,3,female,9.0,S
542,0,3,female,11.0,S
543,1,2,male,32.0,S
544,0,1,male,50.0,C
545,0,1,male,64.0,S
546,1,2,female,19.0,S
547,1,2,male,,C
548,0,3,male,33.0,S
549,1,2,male,8.0,S
550,1,1,male,17.0,C
551,0,2,male,27.0,S
552,0,3,male,,Q
553,1,3,male,22.0,C
554,1,3,female,22.0,S
555,0,1,male,62.0,S
556,1,1,female,48.0,C
557,0,1,male,,C
558,1,1,female,39.0,S
559,1,3,female,36.0,S
560,0,3,male,,Q
561,0,3,male,40.0,S
562,0,2,male,28.0,S
563,0,3,male,,S
564,0,3,female,,S
565,0,3,male,24.0,S
566,0,3,male,19.0,S
567,0,3,female,29.0,S
568,0,3,male,,C
569,1,3,male,32.0,S
570,1,2,male,62.0,S
571,1,1,female,53.0,S
572,1,1,male,36.0,S
573,1,3,female,,Q
574,0,3,male,16.0,S
575,0,3,male,19.0,S
576,1,2,female,34.0,S
577,1,1,female,39.0,S
578,0,3,female,,C
579,1,3,male,32.0,S
580,1,2,female,25.0,S
581,1,1,female,39.0,C
582,0,2,male,54.0,S
583,0,1,male,36.0,C
584,0,3,male,,C
585,1,1,female,18.0,S
586,0,2,male,47.0,S
587,1,1,male,60.0,C
588,0,3,male,22.0,S
589,0,3,male,,S
590,0,3,male,35.0,S
591,1,1,female,52.0,C
592,0,3,male,47.0,S
593,0,3,female,,Q
594,0,2,male,37.0,S
595,0,3,male,36.0,S
596,1,2,female,,S
597,0,3,male,49.0,S
598,0,3,male,,C
599,1,1,male,49.0,C
600,1,2,female,24.0,S
601,0,3,male,,S
602,0,1,male,,S
603,0,3,male,44.0,S
604,1,1,male,35.0,C
605,0,3,male,36.0,S
606,0,3,male,30.0,S
607,1,1,male,27.0,S
608,1,2,female,22.0,C
609,1,1,female,40.0,S
610,0,3,female,39.0,S
611,0,3,male,,S
612,1,3,female,,Q
613,0,3,male,,Q
614,0,3,male,35.0,S
615,1,2,female,24.0,S
616,0,3,male,34.0,S
617,0,3,female,26.0,S
618,1,2,female,4.0,S
619,0,2,male,26.0,S
620,0,3,male,27.0,C
621,1,1,male,42.0,S
622,1,3,male,20.0,C
623,0,3,male,21.0,S
624,0,3,male,21.0,S
625,0,1,male,61.0,S
626,0,2,male,57.0,Q
627,1,1,female,21.0,S
628,0,3,male,26.0,S
629,0,3,male,,Q
630,1,1,male,80.0,S
631,0,3,male,51.0,S
632,1,1,male,32.0,C
633,0,1,male,,S
634,0,3,female,9.0,S
635,1,2,female,28.0,S
636,0,3,male,32.0,S
637,0,2,male,31.0,S
638,0,3,female,41.0,S
639,0,3,male,,S
640,0,3,male,20.0,S
641,1,1,female,24.0,C
642,0,3,female,2.0,S
643,1,3,male,,S
644,1,3,female,0.75,C
645,1,1,male,48.0,C
646,0,3,male,19.0,S
647,1,1,male,56.0,C
648,0,3,male,,S
649,1,3,female,23.0,S
650,0,3,male,,S
651,1,2,female,18.0,S
652,0,3,male,21.0,S
653,1,3,female,,Q
654,0,3,female,18.0,Q
655,0,2,male,24.0,S
656,0,3,male,,S
657,0,3,female,32.0,Q
658,0,2,male,23.0,S
659,0,1,male,58.0,C
660,1,1,male,50.0,S
661,0,3,male,40.0,C
662,0,1,male,47.0,S
663,0,3,male,36.0,S
664,1,3,male,20.0,S
665,0,2,male,32.0,S
666,0,2,male,25.0,S
667,0,3,male,,S
668,0,3,male,43.0,S
669,1,1,female,,S
670,1,2,female,40.0,S
671,0,1,male,31.0,S
672,0,2,male,70.0,S
673,1,2,male,31.0,S
674,0,2,male,,S
675,0,3,male,18.0,S
676,0,3,male,24.5,S
677,1,3,female,18.0,S
678,0,3,female,43.0,S
679,1,1,male,36.0,C
680,0,3,female,,Q
681,1,1,male,27.0,C
682,0,3,male,20.0,S
683,0,3,male,14.0,S
684,0,2,male,60.0,S
685,0,2,male,25.0,C
686,0,3,male,14.0,S
687,0,3,male,19.0,S
688,0,3,male,18.0,S
689,1,1,female,15.0,S
690,1,1,male,31.0,S
691,1,3,female,4.0,C
692,1,3,male,,S
693,0,3,male,25.0,C
694,0,1,male,60.0,S
695,0,2,male,52.0,S
696,0,3,male,44.0,S
697,1,3,female,,Q
698,0,1,male,49.0,C
699,0,3,male,42.0,S
700,1,1,female,18.0,C
701,1,1,male,35.0,S
702,0,3,female,18.0,C
703,0,3,male,25.0,Q
704,0,3,male,26.0,S
705,0,2,male,39.0,S
706,1,2,female,45.0,S
707,1,1,male,42.0,S
708,1,1,female,22.0,S
709,1,3,male,,C
710,1,1,female,24.0,C
711,0,1,male,,S
712,1,1,male,48.0,S
713,0,3,male,29.0,S
714,0,2,male,52.0,S
715,0,3,male,19.0,S
716,1,1,female,38.0,C
717,1,2,female,27.0,S
718,0,3,male,,Q
719,0,3,male,33.0,S
720,1,2,female,6.0,S
721,0,3,male,17.0,S
722,0,2,male,34.0,S
723,0,2,male,50.0,S
724,1,1,male,27.0,S
725,0,3,male,20.0,S
726,1,2,female,30.0,S
727,1,3,female,,Q
728,0,2,male,25.0,S
729,0,3,female,25.0,S
730,1,1,female,29.0,S
731,0,3,male,11.0,C
732,0,2,male,,S
733,0,2,male,23.0,S
734,0,2,male,23.0,S
735,0,3,male,28.5,S
736,0,3,female,48.0,S
737,1,1,male,35.0,C
738,0,3,male,,S
739,0,3,male,,S
740,1,1,male,,S
741,0,1,male,36.0,S
742,1,1,female,21.0,C
743,0,3,male,24.0,S
744,1,3,male,31.0,S
745,0,1,male,70.0,S
746,0,3,male,16.0,S
747,1,2,female,30.0,S
748,0,1,male,19.0,S
749,0,3,male,31.0,Q
750,1,2,female,4.0,S
751,1,3,male,6.0,S
752,0,3,male,33.0,S
753,0,3,male,23.0,S
754,1,2,female,48.0,S
755,1,2,male,0.67,S
756,0,3,male,28.0,S
757,0,2,male,18.0,S
758,0,3,male,34.0,S
759,1,1,female,33.0,S
760,0,3,male,,S
761,0,3,male,41.0,S
762,1,3,male,20.0,C
763,1,1,female,36.0,S
764,0,3,male,16.0,S
765,1,1,female,51.0,S
766,0,1,male,,C
767,0,3,female,30.5,Q
768,0,3,male,,Q
769,0,3,male,32.0,S
770,0,3,male,24.0,S
771,0,3,male,48.0,S
772,0,2,female,57.0,S
773,0,3,male,,C
774,1,2,female,54.0,S
775,0,3,male,18.0,S
776,0,3,male,,Q
777,1,3,female,5.0,S
778,0,3,male,,Q
779,1,1,female,43.0,S
780,1,3,female,13.0,C
781,1,1,female,17.0,S
782,0,1,male,29.0,S
783,0,3,male,,S
784,0,3,male,25.0,S
785,0,3,male,25.0,S
786,1,3,female,18.0,S
787,0,3,male,8.0,Q
788,1,3,male,1.0,S
789,0,1,male,46.0,C
790,0,3,male,,Q
791,0,2,male,16.0,S
792,0,3,female,,S
793,0,1,male,,C
794,0,3,male,25.0,S
795,0,2,male,39.0,S
796,1,1,female,49.0,S
797,1,3,female,31.0,S
798,0,3,male,30.0,C
799,0,3,female,30.0,S
800,0,2,male,34.0,S
801,1,2,female,31.0,S
802,1,1,male,11.0,S
803,1,3,male,0.42,C
804,1,3,male,27.0,S
805,0,3,male,31.0,S
806,0,1,male,39.0,S
807,0,3,female,18.0,S
808,0,2,male,39.0,S
809,1,1,female,33.0,S
810,0,3,male,26.0,S
811,0,3,male,39.0,S
812,0,2,male,35.0,S
813,0,3,female,6.0,S
814,0,3,male,30.5,S
815,0,1,male,,S
816,0,3,female,23.0,S
817,0,2,male,31.0,C
818,0,3,male,43.0,S
819,0,3,male,10.0,S
820,1,1,female,52.0,S
821,1,3,male,27.0,S
822,0,1,male,38.0,S
823,1,3,female,27.0,S
824,0,3,male,2.0,S
825,0,3,male,,Q
826,0,3,male,,S
827,1,2,male,1.0,C
828,1,3,male,,Q
829,1,1,female,62.0,
830,1,3,female,15.0,C
831,1,2,male,0.83,S
832,0,3,male,,C
833,0,3,male,23.0,S
834,0,3,male,18.0,S
835,1,1,female,39.0,C
836,0,3,male,21.0,S
837,0,3,male,,S
838,1,3,male,32.0,S
839,1,1,male,,C
840,0,3,male,20.0,S
841,0,2,male,16.0,S
842,1,1,female,30.0,C
843,0,3,male,34.5,C
844,0,3,male,17.0,S
845,0,3,male,42.0,S
846,0,3,male,,S
847,0,3,male,35.0,C
848,0,2,male,28.0,S
849,1,1,female,,C
850,0,3,male,4.0,S
851,0,3,male,74.0,S
852,0,3,female,9.0,C
853,1,1,female,16.0,S
854,0,2,female,44.0,S
855,1,3,female,18.0,S
856,1,1,female,45.0,S
857,1,1,male,51.0,S
858,1,3,female,24.0,C
859,0,3,male,,C
860,0,3,male,41.0,S
861,0,2,male,21.0,S
862,1,1,female,48.0,S
863,0,3,female,,S
864,0,2,male,24.0,S
865,1,2,female,42.0,S
866,1,2,female,27.0,C
867,0,1,male,31.0,S
868,0,3,male,,S
869,1,3,male,4.0,S
870,0,3,male,26.0,S
871,1,1,female,47.0,S
872,0,1,male,33.0,S
873,0,3,male,47.0,S
874,1,2,female,28.0,C
875,1,3,female,15.0,C
876,0,3,male,20.0,S
877,0,3,male,19.0,S
878,0,3,male,,S
879,1,1,female,56.0,C
880,1,2,female,25.0,S
881,0,3,male,33.0,S
882,0,3,female,22.0,S
883,0,2,male,28.0,S
884,0,3,male,25.0,S
885,0,3,female,39.0,Q
886,0,2,male,27.0,S
887,1,1,female,19.0,S
888,0,3,female,,S
889,1,1,male,26.0,C
890,0,3,male,32.0,Q
